epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.004578770138323307,0.008144419640302658,0.46898916242020333,0.0,0.3841909286955491,0.0
2,0.003436325816437602,0.0027412837371230125,0.5034358071773756,0.0,0.5793737374044666,0.0
3,0.002370848087593913,0.0026373134460300207,0.5641470119397192,0.0,0.611598669554119,0.0
4,0.0031013311818242073,0.002468173624947667,0.578937696405422,0.0,0.6532091266765279,0.0
5,0.002478876616805792,0.0030100701842457056,0.5915498257766507,0.0,0.6716148725919685,0.0
6,0.002385951578617096,0.002127115847542882,0.5996281637632356,0.0,0.5051688033880256,0.0
7,0.0018401617417111993,0.0022463605273514986,0.5983963053173728,0.0,0.5182607782447007,0.0
8,0.002319960156455636,0.0022946803364902735,0.608186530874876,0.0,0.6377913657773499,0.0
9,0.0025888928212225437,0.0015216642059385777,0.6177779815845431,0.0,0.6282709375941007,0.0
10,0.004476060159504414,0.002110021887347102,0.6172318227498433,0.0,0.6244990329589154,0.0
11,0.0026144925504922867,0.0017597764963284135,0.6268052814825147,0.0,0.6290363292709124,0.0
12,0.0014345616800710559,0.003427671268582344,0.6293020405347041,0.0,0.5485214916133275,0.0
13,0.002496052300557494,0.0020901004318147898,0.6003065686262613,0.0,0.5438892479501273,0.0
14,0.001872432418167591,0.002053131116554141,0.6173078996713016,0.0,0.5576538961358467,0.0
15,0.0022708973847329617,0.0016882127383723855,0.6238576727811966,0.0,0.6416877195887747,0.0
16,0.0019461275078356266,0.002536261221393943,0.6203961709392162,0.0,0.6091822365127104,0.0
17,0.0016721924766898155,0.0014385831309482455,0.6263210917076106,0.0,0.5267028298203471,0.0
18,0.0017002873355522752,0.0015998457092791796,0.613250187332939,0.0,0.6134317479206711,0.0
19,0.0014089338947087526,0.001762230065651238,0.619621040469374,0.0,0.6035298146806429,0.0
20,0.0019659847021102905,0.001595623092725873,0.6246199754697753,0.0,0.6190159936587976,0.0
21,0.0028258860111236572,0.0017589147901162505,0.6336066062145552,0.0,0.5668902187119779,0.0
22,0.0012715073535218835,0.0023183501325547695,0.62019329925531,0.0,0.53805193805261,0.0
23,0.0012388265458866954,0.001260932069271803,0.6262863919539601,0.0,0.5972250481891522,0.0
24,0.001097900909371674,0.0014365626266226172,0.623899800488921,0.0,0.6371284741224238,0.0
25,0.0015637095784768462,0.0016244900180026889,0.6177369113229252,0.0,0.5827453805514768,0.0
26,0.0018078731372952461,0.0023020950611680746,0.6317125757519363,0.0,0.5676096988832341,0.0
27,0.001404411275871098,0.0017843757523223758,0.6255284088625894,0.0,0.599941969641137,0.0
28,0.001705964095890522,0.001809204462915659,0.6261765907954588,0.0,0.6008717364515306,0.0
29,0.0013617206132039428,0.001893506501801312,0.6296659927439493,0.0,0.5779084937337575,0.0
30,0.00143718090839684,0.0013500720961019397,0.6209300752433952,0.0,0.5754474994054039,0.0
31,0.0015070505905896425,0.0019297671969980001,0.6173971468271285,0.0,0.5766886034750652,0.0
32,0.001682546571828425,0.0014936340739950538,0.6258187423791904,0.0,0.5514878141883739,0.0
33,0.0016665587900206447,0.0012533818371593952,0.621023173042411,0.0,0.5397674752795614,0.0
34,0.00220140116289258,0.0024766644928604364,0.6151357629167283,0.0,0.5427802650824868,0.0
35,0.0015260649379342794,0.0010649514151737094,0.6208906740769454,0.0,0.5798424623144858,0.0
36,0.0013316163094714284,0.0017941435799002647,0.6222025122386308,0.0,0.553935465914339,0.0
37,0.001623698859475553,0.001713294186629355,0.6193597608011182,0.0,0.5827824429403716,0.0
38,0.0012170495465397835,0.0017620220314711332,0.6186393732053459,0.0,0.628229601252655,0.0
39,0.001498101046308875,0.001479721162468195,0.623742639539774,0.0,0.5718676083136495,0.0
40,0.0012992169940844178,0.0014781742356717587,0.6256748171843726,0.0,0.5465364470183776,0.0
41,0.0016797392163425684,0.0014983825385570526,0.6180675078811153,0.0,0.5412353374680132,0.0
42,0.0011141665745526552,0.001499186852015555,0.6216267049977082,0.0,0.5998669402012017,0.0
43,0.001142126158811152,0.0014488924061879516,0.628255652224257,0.0,0.6024324087806887,0.0
44,0.001651422819122672,0.001418795553036034,0.6220138376194286,0.0,0.5568154461009943,0.0
45,0.0013687927275896072,0.0014394180616363883,0.6262454720226778,0.0,0.599922521896741,0.0
46,0.0013557380298152566,0.001395683386363089,0.6183963190403763,0.0,0.6109191384466551,0.0
47,0.0013759499415755272,0.0016575970221310854,0.6253881974596391,0.0,0.6216695657333972,0.0
48,0.001020508585497737,0.002060837112367153,0.6140175925286372,0.0,0.6024428882941547,0.0
49,0.0012274220352992415,0.0018484400352463126,0.6133306025630761,0.0,0.5400171713957201,0.0
50,0.0013380547752603889,0.0014769508270546794,0.6129883441623596,0.0,0.5913764165089979,0.0
