epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.021374566480517387,0.014159400016069412,0.24362498348101516,0.9178737566111299,0.7708530231126133,0.935339954779603
2,0.010151688940823078,0.008852827362716198,0.40647389159537684,0.9799541440501901,0.8024744973631558,0.942049773693692
3,0.007663073018193245,0.005837215110659599,0.5366343524889375,0.9836476853962114,0.7986700543407763,0.9436385665410695
4,0.00759662501513958,0.00936805084347725,0.6378683267171561,0.9842448115726331,0.8587828784199987,0.9429469482436753
5,0.005520256701856852,0.0038185319863259792,0.6920024907067132,0.9842854282516861,0.816635729679782,0.943758385184638
6,0.005397105123847723,0.005846892483532429,0.7563804907528128,0.9847665281016227,0.8572050773463029,0.9436841815385762
7,0.005611416883766651,0.005568504799157381,0.7956359181196488,0.9848926494880146,0.8599042683778656,0.94276422715013
8,0.003628043457865715,0.004171203821897507,0.8183989035984442,0.9849241682061372,0.8423874914261593,0.943850673900806
9,0.00374499405734241,0.004597157705575228,0.8292868168592639,0.9850779829152979,0.8533617009635883,0.9437029876516454
10,0.002903250977396965,0.005131497047841549,0.847714689571918,0.9851260193159149,0.8511156867930015,0.9435069126143953
11,0.0028711732011288404,0.0028792512603104115,0.8561695911031155,0.9851955539860402,0.8522251974681864,0.9436438431328464
12,0.0027671190910041332,0.003781683510169387,0.8611111722806655,0.9852107360202943,0.8384133237837258,0.9437879222021406
13,0.0032653557136654854,0.004845435731112957,0.8629140968531285,0.9852415243955048,0.8407888548522118,0.943592760496535
14,0.0027739135548472404,0.004555031657218933,0.8680614785521256,0.9852437291286934,0.8573163204428074,0.942038234200455
15,0.0022585573606193066,0.004608780611306429,0.8732198256405432,0.9852872074474508,0.8472779629268787,0.9436828952214099
16,0.0025795181281864643,0.003079913789406419,0.8723509890244593,0.9852793820626445,0.8553090445836318,0.9433126785768822
17,0.0027085915207862854,0.002380792750045657,0.8777084072267638,0.9852869700065321,0.848084143144468,0.943531220228232
18,0.003509335219860077,0.0030396487563848495,0.8752512679390122,0.98529727437683,0.8551157514443517,0.9434578417935762
19,0.0023335644509643316,0.0027432008646428585,0.8788394837004034,0.9853202033236151,0.8401550100308444,0.9438162552384551
20,0.002526929834857583,0.003786348970606923,0.8795887085820177,0.9851793955213111,0.856332185772125,0.9433363039512762
21,0.002995471004396677,0.004376641940325499,0.881641394193312,0.9853349814325782,0.8514921819047694,0.9432420573595467
22,0.0020286368671804667,0.0035099403467029333,0.8826886233019314,0.9853284162148406,0.8416565508376543,0.9437714402082208
