,height,top,bottom,threshold
0,2.685185185185185,2.201058201058201,3.5899470899470898,0.3875000000000001
1,2.64021164021164,2.1825396825396823,3.515873015873016,0.3937500000000001
2,2.632275132275132,2.177248677248677,3.4814814814814814,0.4000000000000001
3,2.685185185185185,2.1666666666666665,3.497354497354497,0.40625000000000006
4,2.6587301587301586,2.142857142857143,3.4576719576719577,0.41250000000000003
5,2.685185185185185,2.1666666666666665,3.502645502645503,0.41875
6,2.6666666666666665,2.2037037037037037,3.5,0.425
7,2.6825396825396823,2.2063492063492065,3.5291005291005293,0.43124999999999997
8,2.685185185185185,2.208994708994709,3.566137566137566,0.43749999999999994
9,2.677248677248677,2.193121693121693,3.552910052910053,0.4437499999999999
10,2.746031746031746,2.259259259259259,3.7195767195767195,0.4499999999999999
