,height,top,bottom,threshold
0,9.230366492146597,8.55497382198953,17.471204188481675,0.025
1,9.006079027355623,7.954407294832826,16.52887537993921,0.05
2,8.531791907514451,7.309248554913295,15.361271676300579,0.075
3,7.95303867403315,6.665745856353591,14.099447513812155,0.1
4,7.420485175202156,5.964959568733153,12.873315363881401,0.125
5,6.831099195710456,5.367292225201072,11.60857908847185,0.15
6,6.324538258575198,4.907651715039578,10.604221635883905,0.175
7,5.881578947368421,4.389473684210526,9.555263157894737,0.2
8,5.395287958115183,4.005235602094241,8.583769633507853,0.225
9,4.952879581151833,3.630890052356021,7.641361256544503,0.25
10,4.6171875,3.3463541666666665,6.895833333333333,0.275
11,4.356770833333333,3.046875,6.200520833333333,0.3
12,4.148051948051948,2.787012987012987,5.537662337662337,0.325
13,3.8515625,2.6380208333333335,4.963541666666667,0.35
14,3.6762402088772848,2.4882506527415145,4.691906005221932,0.375
15,3.5729166666666665,2.4635416666666665,4.520833333333333,0.4
16,3.451697127937337,2.553524804177546,4.422976501305483,0.425
17,3.3968668407310707,2.783289817232376,4.577023498694517,0.45
18,3.3743455497382198,2.968586387434555,4.871727748691099,0.475
19,3.5104712041884816,3.2853403141361257,5.366492146596858,0.5
20,3.5973684210526318,3.539473684210526,5.826315789473684,0.525
21,3.8473684210526318,3.8657894736842104,6.502631578947368,0.55
22,4.202099737532809,4.162729658792651,7.215223097112861,0.575
23,4.426315789473684,4.644736842105263,8.034210526315789,0.6
24,4.626984126984127,5.185185185185185,8.944444444444445,0.625
25,5.074468085106383,5.60904255319149,9.938829787234043,0.65
26,5.589333333333333,6.008,10.898666666666667,0.675
27,5.770491803278689,6.330601092896175,11.510928961748634,0.7
28,6.116666666666666,6.802777777777778,12.430555555555555,0.725
29,6.480225988700565,7.361581920903955,13.423728813559322,0.75
30,6.956772334293948,7.827089337175792,14.426512968299711,0.775
31,7.438235294117647,8.379411764705882,15.488235294117647,0.8
32,8.0,8.861861861861861,16.573573573573572,0.825
33,8.342767295597485,9.424528301886792,17.433962264150942,0.85
34,8.785953177257525,9.869565217391305,18.34113712374582,0.875
35,9.416666666666666,10.21376811594203,19.28985507246377,0.9
36,9.739316239316238,10.38034188034188,19.786324786324787,0.925
37,9.755102040816327,10.811224489795919,20.198979591836736,0.95
38,9.69032258064516,11.07741935483871,20.34193548387097,0.975
39,9.792792792792794,11.387387387387387,20.65765765765766,1.0
