,height,top,bottom,threshold
0,3.211480362537764,2.2507552870090635,4.102719033232629,0.39999999999999997
1,3.2235649546827796,2.2537764350453173,4.075528700906345,0.40312499999999996
2,3.205438066465257,2.2900302114803623,4.111782477341389,0.40624999999999994
3,3.1570996978851964,2.2779456193353473,4.069486404833837,0.40937499999999993
4,3.1419939577039275,2.2598187311178246,4.030211480362538,0.4124999999999999
5,3.1148036253776437,2.268882175226586,4.030211480362538,0.4156249999999999
6,3.108761329305136,2.302114803625378,4.039274924471299,0.4187499999999999
7,3.0454545454545454,2.3363636363636364,3.993939393939394,0.4218749999999999
8,3.0515151515151517,2.3454545454545452,4.003030303030303,0.4249999999999999
9,3.0424242424242425,2.3666666666666667,4.0212121212121215,0.42812499999999987
10,3.0272727272727273,2.375757575757576,4.003030303030303,0.43124999999999986
