,height,top,bottom,threshold
0,7.521739130434782,9.732919254658386,16.70807453416149,0.025
1,7.496268656716418,9.082089552238806,16.19776119402985,0.05
2,7.048543689320389,8.407766990291263,15.016181229773462,0.07500000000000001
3,6.555223880597015,7.856716417910448,13.844776119402985,0.1
4,6.1473988439306355,7.367052023121388,12.84971098265896,0.125
5,5.708683473389356,6.7478991596638656,11.733893557422968,0.15
6,5.306233062330623,6.151761517615176,10.601626016260163,0.175
7,5.008042895442359,5.737265415549598,9.694369973190348,0.19999999999999998
8,4.665775401069519,5.2005347593582885,8.871657754010695,0.22499999999999998
9,4.367292225201072,4.705093833780161,7.97319034852547,0.24999999999999997
10,4.166666666666667,4.403225806451613,7.306451612903226,0.27499999999999997
11,3.92722371967655,3.876010781671159,6.498652291105121,0.3
12,3.7547169811320753,3.498652291105121,5.857142857142857,0.325
13,3.5718157181571817,3.254742547425474,5.37940379403794,0.35000000000000003
14,3.3923705722070845,2.956403269754768,4.833787465940055,0.37500000000000006
15,3.378082191780822,2.736986301369863,4.46027397260274,0.4000000000000001
16,3.348901098901099,2.57967032967033,4.258241758241758,0.4250000000000001
17,3.473972602739726,2.473972602739726,4.375342465753425,0.4500000000000001
18,3.5261707988980717,2.465564738292011,4.3884297520661155,0.47500000000000014
19,3.6049723756906076,2.5,4.685082872928176,0.5000000000000001
20,3.718232044198895,2.616022099447514,4.980662983425415,0.5250000000000001
21,3.958563535911602,2.8977900552486187,5.6353591160221,0.5500000000000002
22,4.282548476454294,3.10803324099723,6.232686980609419,0.5750000000000002
23,4.554016620498615,3.412742382271468,7.008310249307479,0.6000000000000002
24,4.9415041782729805,3.6267409470752088,7.688022284122563,0.6250000000000002
25,5.318435754189944,4.0139664804469275,8.539106145251397,0.6500000000000002
26,5.619047619047619,4.355742296918767,9.369747899159664,0.6750000000000003
27,5.886685552407932,4.796033994334278,10.201133144475921,0.7000000000000003
28,6.257879656160458,5.277936962750716,11.117478510028654,0.7250000000000003
29,6.672413793103448,5.75,12.089080459770114,0.7500000000000003
30,7.005830903790088,6.189504373177843,12.874635568513119,0.7750000000000004
31,7.444117647058824,6.720588235294118,13.876470588235295,0.8000000000000004
32,7.9431137724550895,7.173652694610778,14.859281437125748,0.8250000000000004
33,8.401812688821753,7.743202416918429,15.90332326283988,0.8500000000000004
34,8.8328173374613,8.374613003095975,16.959752321981423,0.8750000000000004
35,9.336601307189543,8.68954248366013,17.797385620915033,0.9000000000000005
36,9.597173144876326,9.088339222614842,18.431095406360424,0.9250000000000005
37,9.876,9.44,19.044,0.9500000000000005
38,9.944444444444445,9.893518518518519,19.587962962962962,0.9750000000000005
39,9.988950276243093,10.12707182320442,19.83977900552486,1.0000000000000004
